xxxxxx      
SV=25.0,P=10.0,I=60,D=0,MR=0.0,Hys=0.0,H/C=0,Typ=0,
DateTime,PV(ch1),SV,MV,ch2,ch3,ch4,cjt,Stop/Run,Auto/Manual,P_MV,I_MV,D_MV,En
2022/02/12 10:55:42.513,19.5,25.0,0.0,18.5,19.6,20.3,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:44.518,19.5,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:46.518,19.5,25.0,0.0,18.5,19.4,20.3,19.2,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:48.517,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:50.522,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:52.522,19.5,25.0,0.0,18.4,19.4,20.2,19.2,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:54.527,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:56.526,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:55:58.526,19.5,25.0,0.0,18.5,19.5,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:00.531,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:02.530,19.4,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:04.535,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:06.535,19.5,25.0,0.0,18.6,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:08.737,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:10.742,19.4,25.0,0.0,18.6,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:12.742,19.5,25.0,0.0,18.5,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:14.747,19.5,25.0,0.0,18.5,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:16.746,19.4,25.0,0.0,18.5,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:18.746,19.5,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:20.751,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:22.750,19.4,25.0,0.0,18.5,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:24.755,19.3,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:56:26.755,19.4,25.0,0.0,18.5,19.5,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:28.754,19.4,25.0,0.0,18.4,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:30.760,19.5,25.0,0.0,18.5,19.5,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:32.760,19.4,25.0,0.0,18.4,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:34.765,19.4,25.0,0.0,18.3,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:36.765,19.5,25.0,0.0,18.4,19.5,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:38.764,19.5,25.0,0.0,18.4,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:40.770,19.3,25.0,0.0,18.4,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:56:42.769,19.4,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:44.774,19.5,25.0,0.0,18.4,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:46.774,19.5,25.0,0.0,18.5,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:56:48.789,19.4,25.0,0.0,18.4,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:50.780,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:52.780,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:54.785,19.4,25.0,0.0,18.4,19.3,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:56.784,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:56:58.784,19.4,25.0,0.0,18.3,19.3,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:00.789,19.4,25.0,0.0,18.3,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:02.789,19.5,25.0,0.0,18.4,19.2,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:57:04.794,19.5,25.0,0.0,18.3,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.4
2022/02/12 10:57:06.794,19.4,25.0,0.0,18.5,19.2,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:08.808,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:10.798,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:12.813,19.4,25.0,0.0,18.3,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:14.803,19.4,25.0,0.0,18.4,19.4,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:16.802,19.4,25.0,0.0,18.3,19.4,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:18.816,19.3,25.0,0.0,18.4,19.4,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:57:20.821,19.4,25.0,0.0,18.4,19.4,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:22.820,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:24.810,19.4,25.0,0.0,18.3,19.2,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:26.825,19.3,25.0,0.0,18.4,19.4,20.2,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:57:28.824,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:30.830,19.3,25.0,0.0,18.3,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:57:32.830,19.4,25.0,0.0,18.3,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:34.835,19.4,25.0,0.0,18.5,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:36.834,19.4,25.0,0.0,18.4,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:38.834,19.4,25.0,0.0,18.3,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:40.840,19.3,25.0,0.0,18.3,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:57:42.840,19.4,25.0,0.0,18.3,19.2,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:44.845,19.4,25.0,0.0,18.3,19.3,20.0,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:46.845,19.3,25.0,0.0,18.3,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.6
2022/02/12 10:57:48.844,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:50.848,19.4,25.0,0.0,18.4,19.3,20.1,19.3,Stop,Auto,0.0,0.0,0.0,5.5
2022/02/12 10:57:54.253,19.3,25.0,59.6,18.9,19.3,20.1,19.3,Run,Auto,56.8,2.8,0.0,5.6
2022/02/12 10:57:56.242,19.3,25.0,61.3,20.1,19.2,20.0,19.3,Run,Auto,56.6,4.7,0.0,5.6
2022/02/12 10:57:58.257,19.4,25.0,62.5,21.4,19.2,20.1,19.3,Run,Auto,55.9,6.5,0.0,5.5
2022/02/12 10:58:00.247,19.4,25.0,63.4,22.8,19.2,20.1,19.2,Run,Auto,55.0,8.4,0.0,5.5
2022/02/12 10:58:02.263,19.4,25.0,65.5,23.8,19.3,20.1,19.2,Run,Auto,55.2,10.2,0.0,5.5
2022/02/12 10:58:04.263,19.6,25.0,65.0,24.7,19.3,20.0,19.2,Run,Auto,53.0,12.0,0.0,5.3
2022/02/12 10:58:06.267,19.7,25.0,66.3,25.6,19.3,20.0,19.3,Run,Auto,52.4,13.8,0.0,5.2
2022/02/12 10:58:08.267,20.0,25.0,65.1,26.3,19.3,20.1,19.2,Run,Auto,49.6,15.5,0.0,4.9
2022/02/12 10:58:10.257,20.1,25.0,65.8,27.0,19.4,20.0,19.2,Run,Auto,48.7,17.1,0.0,4.8
2022/02/12 10:58:12.272,20.1,25.0,66.9,27.4,19.4,20.0,19.2,Run,Auto,48.1,18.7,0.0,4.8
2022/02/12 10:58:14.272,20.3,25.0,66.5,27.9,19.6,20.0,19.3,Run,Auto,46.2,20.3,0.0,4.6
2022/02/12 10:58:16.277,20.4,25.0,67.0,28.3,19.5,19.9,19.2,Run,Auto,45.2,21.8,0.0,4.5
2022/02/12 10:58:18.277,20.6,25.0,66.9,28.6,19.6,20.0,19.2,Run,Auto,43.6,23.3,0.0,4.3
2022/02/12 10:58:20.282,20.7,25.0,67.3,28.8,19.6,20.0,19.2,Run,Auto,42.6,24.7,0.0,4.2
2022/02/12 10:58:22.281,20.7,25.0,68.2,29.2,19.7,20.0,19.2,Run,Auto,42.0,26.2,0.0,4.2
2022/02/12 10:58:24.484,20.8,25.0,69.2,29.5,19.8,20.0,19.2,Run,Auto,41.5,27.7,0.0,4.1
2022/02/12 10:58:26.489,20.8,25.0,70.3,29.8,20.0,20.0,19.2,Run,Auto,41.1,29.1,0.0,4.1
2022/02/12 10:58:28.489,20.9,25.0,71.1,30.0,20.0,20.0,19.2,Run,Auto,40.6,30.4,0.0,4.0
